Timestamp,PID,Nombre,Dir_Local,Pto_Local,Dir_Remota,Pto_Remota,Estado,Tiempo_Enlace,Memoria
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60318,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,9085,kdeconnectd,::ffff:172.31.9.229,60014,::ffff:172.31.13.90,1716,ESTABLISHED,00:03:22,61.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40152,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60248,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40182,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37664,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40164,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37672,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,37400,code,127.0.0.1,44628,127.0.0.1,57376,ESTABLISHED,00:01:11,609.1 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53330,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53354,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50438,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60288,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,9085,kdeconnectd,::,1716,-,-,NONE,00:03:22,61.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,48548,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53332,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60244,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,9028,thunderbird-bin,172.31.9.229,35232,40.99.247.18,993,ESTABLISHED,00:03:22,647.9 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37590,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53316,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,9085,kdeconnectd,::ffff:172.31.9.229,49730,::ffff:172.31.2.46,1717,ESTABLISHED,00:01:15,61.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,54012,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60428,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
